1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1360,0,3,1,384,5.0,0,572,1.0,1962.0,1360,3,7134,60,0,50,5,5,384,1955,1955,130000
1310,0,3,3,24,6.0,1286,400,3.0,2005.0,1310,4,8767,65,0,0,5,7,1310,2005,2005,164990
1836,0,3,2,1039,6.0,797,862,3.0,2004.0,1836,4,11362,107,42,185,5,8,1836,2004,2005,280000
1490,1304,4,1,689,6.0,773,810,3.0,1995.0,2794,5,15138,174,506,146,5,8,1462,1995,1996,403000
1728,0,6,1,40,6.0,1424,352,1.0,2002.0,1728,3,10624,70,84,0,4,5,1728,1964,1964,119000
825,0,2,1,180,2.0,0,720,2.0,1963.0,825,3,8235,49,0,50,7,5,825,1955,1995,125000
894,0,3,3,182,2.0,0,308,1.0,1976.0,894,3,10650,75,0,0,6,5,894,1976,1976,128200
918,765,3,1,226,2.0,192,440,2.0,1978.0,1683,3,11184,70,92,0,5,6,918,1978,1978,172500
930,0,2,0,0,6.0,0,308,1.0,1946.0,930,4,11100,60,0,0,7,4,0,1946,2006,84900
1572,1096,3,3,1016,6.0,556,726,3.0,2003.0,2668,5,13688,110,664,0,5,9,1572,2003,2004,412500
1073,0,3,1,836,5.0,237,515,2.0,1965.0,1073,3,10289,79,168,0,7,5,1073,1965,1965,156000
1334,0,2,1,686,5.0,664,630,2.0,1977.0,1334,3,9650,80,360,16,5,6,1350,1977,1977,167900
788,0,2,1,266,3.0,522,0,0.0,2004.0,788,3,7446,70,0,0,5,4,788,1941,1950,100000
1644,0,2,4,1518,6.0,0,569,3.0,1989.0,1644,4,12800,70,145,0,5,7,1518,1989,1989,275000
872,0,3,1,0,1.0,858,480,1.0,1974.0,872,3,8294,70,0,0,5,4,858,1971,1971,123000
768,664,2,1,0,1.0,264,360,1.0,1910.0,1432,3,9600,60,0,0,7,5,264,1910,2002,132000
901,900,3,1,0,1.0,893,800,1.0,2005.0,1801,4,10463,72,0,116,5,8,893,2005,2005,239900
1121,0,3,1,651,3.0,470,480,1.0,1963.0,1121,3,8816,80,0,80,6,5,1121,1963,1963,139000
789,0,2,1,104,5.0,516,250,1.0,1948.0,789,3,6000,50,0,0,5,5,789,1948,1950,115000
1054,0,3,4,763,6.0,173,480,2.0,1963.0,1054,4,8800,80,156,0,7,6,936,1963,1963,137500
1048,0,3,1,586,4.0,462,286,1.0,1956.0,1048,3,10152,72,120,20,5,5,1048,1956,1956,135000
1236,0,2,1,360,4.0,710,447,1.0,1957.0,1236,4,10011,72,64,0,6,5,1070,1957,1996,134450
1152,0,3,3,1014,6.0,138,484,2.0,1964.0,1152,3,14112,70,86,0,7,5,1152,1964,1964,180500
1679,0,3,1,1138,6.0,270,575,2.0,1994.0,1679,4,8125,65,258,42,5,6,1408,1994,1998,193500
1478,0,3,1,189,5.0,628,442,2.0,1957.0,1478,3,8400,70,0,0,3,6,1478,1957,1957,156500
928,0,2,1,377,3.0,551,252,1.0,1956.0,928,3,13300,70,0,0,7,5,928,1956,2000,132000
846,846,3,3,0,1.0,846,650,2.0,2009.0,1692,4,13159,83,0,114,5,7,846,2009,2009,224500
661,589,3,1,0,1.0,661,552,1.0,1985.0,1250,3,5362,53,0,0,6,5,661,1910,2003,139000
847,886,3,4,0,1.0,847,433,3.0,2003.0,1733,4,12394,70,0,48,5,7,847,2003,2003,225000
716,716,3,1,425,6.0,291,432,3.0,2004.0,1432,4,7795,71,0,51,5,7,716,2004,2005,188500
1077,0,2,1,851,6.0,140,205,2.0,1939.0,1077,3,7420,50,0,4,6,5,991,1939,1950,118000
944,0,2,0,0,0.0,0,528,1.0,1956.0,944,2,10206,74,0,0,3,3,0,1952,1952,82000
1419,0,2,3,945,6.0,474,567,2.0,2007.0,1419,4,8089,60,0,0,6,8,1419,2007,2007,392000
960,0,3,1,0,1.0,672,288,1.0,1956.0,960,3,8926,70,0,0,3,4,672,1956,1956,112000
1646,0,3,3,0,6.0,1638,870,2.0,2007.0,1646,4,10656,67,274,80,5,8,1638,2006,2007,248900
999,0,3,3,784,4.0,141,300,1.0,1962.0,999,3,10205,69,0,72,5,5,925,1962,1962,134500
779,0,2,1,0,1.0,742,308,1.0,1988.0,935,3,9100,50,0,0,6,5,742,1930,1960,79500
1392,1070,4,2,57,6.0,1335,576,2.0,2006.0,2462,4,19378,134,456,132,5,7,1392,2005,2006,320000
1302,0,3,4,270,2.0,452,309,2.0,1964.0,1302,4,9350,85,108,0,7,6,1302,1964,1991,158000
936,0,2,4,936,6.0,0,672,1.0,1980.0,936,3,7200,60,180,0,5,5,936,1980,1980,140000
864,0,3,1,646,5.0,218,336,1.0,1978.0,864,3,7000,70,90,0,8,5,864,1978,2005,136500
820,527,3,4,969,6.0,148,0,0.0,2004.0,1347,3,7000,70,0,0,7,5,1117,1910,1991,107500
990,0,3,1,686,6.0,304,672,1.0,1996.0,990,3,9245,57,0,0,5,5,990,1994,1995,145000
1636,971,3,1,152,3.0,977,0,1.0,2004.0,3086,5,18030,138,0,0,6,5,1598,1946,1994,200500
1337,0,3,2,699,6.0,638,531,2.0,2003.0,1337,4,8450,65,0,39,5,7,1337,2003,2003,185000
694,0,3,1,0,1.0,672,936,1.0,1998.0,1214,3,10410,60,0,0,4,3,672,1915,1950,105000
1368,0,2,1,0,1.0,1368,474,1.0,2005.0,1368,4,6792,40,94,35,5,7,1368,2005,2006,202665
1212,0,3,2,36,6.0,1176,460,2.0,2009.0,1212,4,10420,83,0,22,5,6,1212,2009,2009,186000
1080,0,3,1,570,4.0,510,288,1.0,1958.0,1080,3,9464,75,135,0,7,6,1080,1958,1958,136000
804,878,3,1,505,6.0,299,523,2.0,1998.0,1682,4,8750,70,116,77,5,6,804,1998,1998,200500
790,784,3,2,712,6.0,84,566,3.0,1976.0,1574,3,18800,70,120,111,5,6,796,1976,1976,190000
691,807,3,1,592,5.0,99,409,3.0,1995.0,1498,3,13031,70,0,44,5,6,691,1995,1996,187500
920,941,3,1,700,6.0,216,492,2.0,2002.0,1861,4,13450,95,0,91,5,7,916,2002,2002,200000
1258,0,2,3,0,1.0,1258,648,3.0,2007.0,1258,4,3922,53,72,16,5,7,1258,2006,2007,172500
1253,0,3,1,733,4.0,520,352,2.0,1960.0,1253,3,10920,70,212,213,5,6,1253,1960,1960,157000
1484,0,3,3,712,6.0,761,606,2.0,2004.0,1484,4,8400,70,109,35,5,7,1473,2004,2005,213000
1163,511,4,2,0,1.0,1163,396,3.0,1955.0,1674,3,21780,66,0,36,7,6,1163,1918,1950,185000
864,0,3,1,191,5.0,673,463,1.0,1994.0,864,3,8120,70,0,0,7,4,864,1970,1970,124500
1128,445,3,1,0,1.0,1078,360,1.0,1930.0,1573,3,6240,52,0,0,7,5,1078,1930,1992,162900
1734,0,3,3,1300,6.0,434,660,1.0,2005.0,1734,4,11645,78,0,24,5,7,1734,2005,2005,260000
495,1427,4,0,0,6.0,0,672,2.0,2003.0,1922,4,7301,64,500,0,5,7,0,2003,2003,198500
1340,0,3,0,0,6.0,0,252,1.0,1957.0,1340,3,9060,60,98,0,6,5,0,1957,2006,120000
698,728,3,1,535,4.0,155,440,3.0,1977.0,1426,3,7950,75,140,0,6,6,690,1977,1977,159500
720,0,2,1,0,1.0,624,484,1.0,2005.0,720,3,8520,60,0,0,8,6,624,1928,2003,105900
1301,1116,4,1,0,1.0,1288,462,1.0,1991.0,2417,4,16059,121,284,82,5,8,1288,1991,1992,260000
796,566,1,1,732,6.0,64,480,1.0,1993.0,1362,3,14115,85,0,30,5,5,796,1993,1995,143000
951,0,2,1,285,5.0,666,327,1.0,1936.0,951,3,8765,50,0,28,6,4,951,1936,1950,106500
783,701,3,1,0,6.0,783,393,3.0,2005.0,1484,4,10237,65,0,72,5,6,783,2005,2007,178900
773,582,3,1,0,1.0,684,0,0.0,2004.0,1355,4,6882,60,0,0,7,6,684,1914,2006,127000
694,0,3,1,365,2.0,75,352,1.0,1990.0,694,4,4280,40,0,0,6,5,440,1913,2002,90350
1029,0,3,2,903,3.0,126,261,1.0,1961.0,1029,3,7943,61,192,0,5,4,1029,1961,1961,118500
1097,896,4,1,416,3.0,409,495,2.0,1971.0,1993,3,14803,70,252,66,5,6,825,1971,1971,190000
793,325,3,2,507,3.0,286,410,1.0,1939.0,1118,3,7800,65,0,0,7,5,793,1939,1950,119900
713,739,3,1,450,6.0,241,506,1.0,1999.0,1452,4,3735,35,218,34,5,7,691,1999,1999,183900
804,744,3,1,556,6.0,248,440,1.0,1976.0,1548,4,2308,24,0,0,6,6,804,1976,1976,155000
2392,0,3,4,56,6.0,2336,968,3.0,2003.0,2392,5,13472,103,922,105,5,10,2392,2003,2003,386250
1040,0,3,1,824,5.0,216,308,3.0,1963.0,1040,3,7500,75,0,0,5,5,1040,1963,1963,133000
1182,960,3,1,448,3.0,448,509,3.0,1968.0,2142,4,13000,100,576,72,6,6,896,1968,1968,193500
1088,871,3,3,0,1.0,1088,1025,2.0,2006.0,1959,4,9000,75,0,46,5,8,1088,2006,2006,270000
1080,0,3,1,680,6.0,400,0,0.0,2004.0,1080,4,7500,63,120,0,5,7,1080,2004,2005,141000
703,689,2,1,0,1.0,689,540,1.0,2007.0,1392,4,3604,34,0,102,5,7,689,2007,2007,146000
988,0,3,1,827,3.0,161,572,1.0,1963.0,988,3,9945,70,57,0,5,5,988,1961,1961,128500
1098,880,4,1,552,4.0,280,486,2.0,1968.0,1978,3,9900,70,342,43,5,7,832,1968,1968,176000
1588,0,3,3,1162,5.0,426,472,2.0,1999.0,1588,4,10264,78,183,29,5,7,1588,1999,1999,214000
1478,0,2,3,578,6.0,892,484,3.0,2009.0,1478,4,4403,70,432,144,5,7,1470,2009,2009,222000
2121,0,3,4,0,1.0,2121,732,3.0,2007.0,2121,5,14450,107,315,98,5,9,2121,2006,2007,415298
1301,0,2,1,0,1.0,1293,572,2.0,2006.0,1301,4,7200,60,0,121,5,7,1293,2006,2006,187750
1241,0,1,1,1106,6.0,135,569,1.0,2007.0,1241,4,4274,35,0,116,5,7,1241,2006,2007,199900
1523,0,3,1,644,5.0,549,478,3.0,1976.0,1523,3,11361,104,160,0,5,6,1193,1976,1976,180000
1344,0,3,4,1309,6.0,35,784,3.0,1997.0,1344,3,7060,78,200,0,5,7,1344,1997,1998,206300
1240,0,2,3,0,1.0,1240,826,2.0,2006.0,1240,4,8556,74,0,93,5,7,1240,2006,2006,194000
1120,1120,6,0,0,0.0,0,528,1.0,1979.0,2240,3,7018,64,0,0,5,5,0,1979,1979,142953
1440,0,3,1,678,4.0,762,467,3.0,1981.0,1440,4,12546,70,310,0,7,6,1440,1981,1981,182900
864,0,3,1,0,1.0,864,280,1.0,1972.0,864,3,9353,71,0,0,5,4,864,1970,1970,116050
1680,0,3,1,144,2.0,379,583,3.0,1998.0,1680,4,10140,78,0,73,5,7,1650,1998,1999,213250
944,545,3,1,0,1.0,778,240,1.0,1940.0,1489,3,9900,60,0,0,7,6,778,1940,1950,139500
1349,0,3,1,0,6.0,1349,539,1.0,2000.0,1349,3,8450,65,108,55,5,7,1349,2000,2001,179000
901,0,2,1,0,1.0,901,281,1.0,1954.0,901,3,6000,50,0,0,7,4,901,1954,2000,107900
810,0,3,1,387,5.0,374,484,2.0,1992.0,1603,4,7153,65,0,124,5,6,761,1992,1992,175900
1152,0,3,1,0,1.0,1092,300,1.0,1950.0,1152,4,14000,80,0,36,8,6,1092,1950,2004,158500
1072,0,2,4,547,6.0,0,525,3.0,2005.0,1072,3,3675,35,80,28,5,5,547,2005,2005,145000
2259,0,3,2,35,6.0,905,450,1.0,1953.0,2259,4,21000,70,184,120,5,6,1809,1953,1953,217000
1040,0,3,2,532,2.0,364,484,1.0,1977.0,1040,4,8800,61,0,0,7,5,1040,1977,2008,150500
1258,0,0,3,1198,6.0,0,400,1.0,1969.0,1258,3,12900,60,0,0,4,4,1198,1969,1969,108959
697,804,3,1,518,5.0,179,420,3.0,1993.0,1501,4,7685,70,112,63,5,6,697,1993,1994,165600
1466,0,3,3,16,6.0,1450,610,3.0,2007.0,1466,4,8925,73,0,18,5,8,1466,2007,2007,201000
1053,0,3,1,806,5.0,247,312,2.0,1959.0,1053,4,10007,72,54,0,7,5,1053,1959,2006,145500
1752,0,2,1,456,6.0,1296,576,2.0,2005.0,1752,5,7658,61,412,82,5,9,1752,2005,2005,319900
1494,0,3,4,1443,6.0,39,514,2.0,1998.0,1494,4,16196,70,0,25,5,7,1482,1998,1998,215000
1425,0,3,1,490,6.0,935,576,2.0,1964.0,1425,3,10175,100,272,0,5,6,1425,1964,1964,180500
1702,0,1,1,1540,6.0,162,1052,3.0,2008.0,1702,5,8769,65,766,72,5,9,1702,2008,2008,367294
1800,0,2,1,0,1.0,1800,702,3.0,2007.0,1800,5,11923,122,0,136,5,9,1800,2007,2007,239000
1272,928,4,1,1084,5.0,188,0,0.0,2004.0,2200,3,8777,67,0,70,7,5,1272,1900,2003,145900
833,833,3,1,0,1.0,588,228,1.0,1925.0,1666,4,5100,70,0,63,7,8,588,1925,1996,161000
1392,1392,5,1,790,6.0,133,564,2.0,1978.0,2784,4,16692,80,184,112,5,7,1392,1978,1978,250000
1131,0,3,1,168,3.0,739,672,1.0,1995.0,1131,3,5925,50,435,72,7,4,907,1937,2000,89471
792,725,3,1,0,1.0,792,400,1.0,1931.0,1517,4,11435,70,0,0,7,8,792,1929,1950,230000
1120,0,3,1,206,5.0,914,0,0.0,2004.0,1120,3,8402,70,0,30,5,5,1120,2007,2007,147000
812,670,3,1,0,1.0,384,392,3.0,1992.0,1482,4,9125,70,170,25,5,7,384,1992,1992,163900
864,0,2,1,524,5.0,160,576,1.0,1989.0,864,3,10500,70,0,0,6,4,864,1971,1971,97000
1188,0,3,1,1000,3.0,188,531,2.0,1959.0,1188,3,12160,70,180,0,5,5,1188,1959,1959,142000
778,798,3,1,0,1.0,770,614,2.0,2006.0,1576,4,8125,65,0,50,5,7,770,2006,2006,197000
960,0,3,3,789,5.0,171,576,1.0,1970.0,960,3,9873,60,160,288,5,4,960,1970,1970,129000
1574,0,3,1,24,6.0,1550,824,2.0,2006.0,1574,4,11957,75,53,104,5,8,1574,2006,2006,232000
997,0,3,1,0,1.0,793,0,0.0,2004.0,1517,2,8500,85,0,0,7,5,793,1919,2005,115000
1464,0,3,3,444,5.0,76,480,2.0,1997.0,1464,3,12886,70,0,0,6,5,520,1963,1999,175000
1277,1067,3,1,0,1.0,1264,889,2.0,1996.0,2344,4,10208,79,921,0,5,7,1264,1996,1997,265000
1358,0,2,3,720,6.0,638,484,2.0,2004.0,1358,4,8198,59,146,30,5,7,1358,2004,2004,207000
948,742,3,1,0,1.0,924,463,2.0,2000.0,1690,3,8063,70,0,48,5,6,924,2000,2000,181000
1382,0,3,4,672,3.0,0,884,1.0,1991.0,1382,3,19296,120,399,0,5,6,1362,1962,1962,176000
888,676,3,1,0,1.0,650,476,1.0,1980.0,1564,3,8400,70,130,50,6,6,650,1980,1981,171000
1306,0,1,3,900,5.0,406,624,1.0,2005.0,1306,4,5381,34,135,63,5,6,1306,2005,2005,196000
1137,0,2,1,980,6.0,92,551,1.0,1987.0,1137,4,13811,54,72,0,6,6,1112,1987,1987,176000
988,0,2,1,0,6.0,988,520,2.0,1954.0,988,3,21750,100,0,0,5,5,988,1954,1954,113000
576,533,3,3,349,5.0,23,288,1.0,1971.0,1109,3,10500,70,82,0,7,5,372,1971,2005,139000
1134,0,2,1,588,6.0,422,254,1.0,1960.0,1134,3,7000,70,45,16,7,5,1010,1960,2002,135000
1548,1066,4,1,956,5.0,384,624,2.0,1974.0,2614,3,10800,90,0,243,7,6,1522,1974,1997,240000
865,445,2,1,617,2.0,0,398,1.0,1924.0,1310,3,7000,50,0,0,6,6,617,1924,1950,112000
1080,0,3,1,336,5.0,748,484,1.0,1983.0,1080,3,9187,71,0,0,5,6,1084,1983,1983,134000
1496,636,1,4,1441,6.0,55,612,3.0,1983.0,2132,4,12327,79,0,40,8,8,1496,1983,2009,316600
1222,698,4,1,0,1.0,570,487,2.0,1968.0,1920,4,10192,102,143,98,6,7,570,1968,1992,170000
734,0,2,1,0,1.0,648,440,1.0,1990.0,1118,3,4400,40,0,0,8,6,648,1920,1950,116000
1704,0,3,1,1218,6.0,486,772,1.0,2008.0,1704,4,11478,98,200,50,5,8,1704,2007,2008,306000
861,0,1,1,262,4.0,599,539,1.0,1961.0,861,3,12342,70,0,0,5,4,861,1940,1950,82500
1041,702,3,1,384,5.0,143,539,1.0,1968.0,1743,3,11700,90,365,0,6,6,702,1968,1968,175000
483,504,3,1,321,3.0,162,280,1.0,1987.0,987,3,1869,21,127,0,6,6,483,1970,1970,106000
1220,0,2,3,684,6.0,515,632,2.0,2006.0,1220,4,7406,64,84,54,5,7,1199,2006,2006,194000
1402,0,2,3,0,1.0,1258,648,3.0,2006.0,1402,4,3922,53,72,16,5,7,1258,2006,2007,194201
848,0,3,2,662,6.0,186,420,2.0,2004.0,848,4,4435,37,169,0,5,6,848,2004,2004,155900
990,0,3,1,746,5.0,244,480,1.0,2000.0,990,3,8072,60,0,64,5,5,990,1994,1995,138000
1357,0,2,3,719,5.0,300,312,2.0,1959.0,1357,5,11512,124,84,0,7,6,1019,1959,2006,177000
1535,0,3,1,2,6.0,1515,532,2.0,2004.0,1535,4,10171,70,168,0,5,7,1517,2004,2004,214000
914,0,2,3,298,6.0,572,576,1.0,1998.0,914,3,8846,57,0,0,5,5,870,1996,1996,148000
936,316,3,1,0,1.0,504,576,1.0,1986.0,1252,3,7438,92,0,0,8,5,504,1908,1991,127000
1003,0,3,3,819,6.0,184,588,1.0,1984.0,1003,3,7937,37,0,0,6,6,1003,1984,1984,142500
630,0,1,3,509,6.0,121,286,1.0,1970.0,630,3,1477,21,0,0,4,4,630,1970,1970,80000
1138,0,3,3,507,6.0,81,264,1.0,1958.0,1138,3,10482,65,63,0,8,6,588,1958,1958,145000
858,858,4,1,319,3.0,539,490,3.0,1962.0,1716,3,9247,70,318,84,6,6,858,1962,1962,171000
765,600,2,1,471,5.0,294,440,1.0,1971.0,1365,3,1920,24,376,36,5,5,765,1971,1971,122500
1339,0,3,1,504,2.0,525,294,1.0,1958.0,1339,3,7560,70,0,0,6,5,1029,1958,1965,139000
1228,0,2,2,767,6.0,461,472,3.0,1988.0,1228,4,4671,40,0,120,5,8,1228,1988,1989,189000
778,0,2,1,403,5.0,212,924,1.0,1966.0,778,3,6900,71,0,25,6,5,740,1940,1955,120500
1040,0,3,1,616,3.0,424,0,0.0,2004.0,1040,3,8430,60,136,0,5,5,1040,1978,1978,124000
948,980,5,2,0,1.0,686,0,0.0,2004.0,1928,3,7082,70,0,0,8,5,686,1916,1995,160000
1338,1296,6,1,500,2.0,748,968,1.0,1969.0,2634,3,11643,91,368,0,5,5,1248,1969,1969,200000
1251,0,3,1,553,6.0,698,461,1.0,1964.0,1251,3,8800,80,425,116,6,6,1251,1964,1964,160000
1476,677,3,2,904,6.0,536,736,3.0,2000.0,2153,5,11050,70,204,142,5,9,1440,2000,2000,313000
1787,0,3,4,0,6.0,1753,748,2.0,2001.0,1787,4,14781,70,178,150,5,8,1753,2001,2002,275000
864,0,2,1,41,4.0,823,0,0.0,2004.0,864,3,8248,45,0,0,3,3,864,1914,1950,67000
1114,0,3,1,646,6.0,468,576,1.0,2004.0,1114,4,13695,66,0,102,5,5,1114,2004,2004,159000
1652,0,2,3,1196,6.0,298,499,2.0,2000.0,1652,5,5330,41,0,48,5,8,1494,2000,2000,251000
1040,0,2,0,0,0.0,0,400,1.0,1987.0,1040,3,8544,60,0,0,4,3,0,1950,1950,92900
784,0,2,1,784,5.0,0,0,0.0,2004.0,784,4,6130,50,0,0,6,5,784,1924,1950,109500
1842,0,0,4,1810,6.0,32,894,3.0,1981.0,1842,4,50271,68,0,72,5,9,1842,1981,1987,385000
1465,915,3,1,187,2.0,111,596,1.0,1965.0,2380,3,18450,70,113,265,5,6,1021,1965,1979,129000
1411,0,3,1,822,5.0,564,544,3.0,1977.0,1411,3,11900,85,209,0,5,7,1386,1977,1977,82500
1553,1177,4,4,28,2.0,0,576,1.0,1987.0,2730,4,10380,86,172,96,5,7,1502,1986,1987,301000
1656,0,3,3,24,6.0,1632,826,1.0,2006.0,1656,4,11096,84,0,146,5,8,1656,2006,2006,249700
630,0,1,3,495,5.0,135,0,0.0,2004.0,630,3,1890,21,0,0,7,4,630,1972,1972,81000
1472,0,3,3,1036,6.0,336,588,1.0,1980.0,1472,3,14115,70,225,48,5,7,1372,1980,1980,187500
1392,0,2,1,0,1.0,1392,576,2.0,1968.0,1392,3,13560,120,216,0,3,6,1392,1968,1968,110000
1001,634,2,1,0,1.0,485,255,1.0,1950.0,1635,4,5310,59,0,0,8,6,485,1910,2003,117000
864,0,3,2,360,3.0,504,288,2.0,1972.0,864,3,9560,120,0,0,7,5,864,1972,1972,128500
1506,0,2,4,16,6.0,1346,440,1.0,2005.0,1506,4,3013,43,145,20,5,7,1362,2005,2005,213490
1006,1040,3,1,866,6.0,132,871,2.0,2003.0,2046,4,10625,85,292,62,5,7,998,2003,2004,284000
1454,482,3,1,0,1.0,1406,504,2.0,2000.0,1936,4,11194,106,40,124,5,8,1406,2000,2000,230500
1888,0,2,1,247,6.0,557,578,3.0,1966.0,1888,4,16492,137,0,0,6,6,1517,1966,2002,190000
1236,0,3,1,465,4.0,447,288,1.0,1961.0,1236,3,6993,65,0,0,7,5,912,1961,1994,135000
1370,0,3,1,0,1.0,1090,479,2.0,1976.0,1370,3,10400,80,189,0,5,7,1090,1976,1976,152000
1040,0,2,0,0,0.0,0,400,1.0,1949.0,1040,3,8544,70,340,0,4,3,0,1949,1950,87500
575,560,3,1,350,5.0,0,576,2.0,1971.0,1135,4,7200,60,0,0,9,7,560,1936,2007,155000
864,0,3,1,432,5.0,432,0,0.0,2004.0,864,3,10500,70,0,0,5,4,864,1971,1971,115000
1099,0,3,1,0,1.0,1099,352,1.0,1999.0,1099,4,9525,75,0,0,6,5,1099,1995,2006,144000
979,871,3,1,595,6.0,378,467,3.0,1994.0,1850,4,29959,70,0,98,6,7,973,1994,1994,248000
825,587,4,1,0,1.0,780,280,1.0,1939.0,1412,3,6000,50,0,0,6,6,780,1939,1950,132500
896,896,4,1,0,1.0,896,0,0.0,2004.0,1792,3,9000,60,0,45,5,5,896,1974,1974,136000
833,0,2,1,415,3.0,418,326,1.0,1955.0,833,4,5400,90,0,0,7,5,833,1954,2000,117000
